title,author,type,publisher,year,month,link
Detecting schizophrenia with 3D structural brain MRI using deep learning,"Junhao Zhang, Vishwanatha M. Rao, Ye Tian, Yanting Yang, Nicolas Acosta, Zihan Wan, Pin-Yu Lee, Chloe Zhang, Lawrence S. Kegeles, Scott A. Small, Jia Guo",Journal,Scientific Reports,2023,9,https://doi.org/10.1038/s41598-023-41359-z
"A brain atlas for the camouflaging dwarf cuttlefish, Sepia bandensis","Tessa G. Montague, Isabelle J. Rieth, Sabrina Gjerswold-Selleck, Daniella Garcia-Rosales, Sukanya Aneja, Dana Elkis, Nanyan Zhu, Sabrina Kentis, Frederick A. Rubino, Adriana Nemes, Katherine Wang, Luke A. Hammond, Roselis Emiliano, Rebecca A. Ober, Jia Guo, Richard Axel",Journal,Current Biology,2023,7,https://doi.org/10.1016/j.cub.2023.06.007
Why Hippocampal Glutamate Levels Are Elevated in Schizophrenia,"Jia Guo, Douglas L. Rothman, Scott A. Small",Journal,JAMA Psychiatry,2023,3,https://doi.org/10.1001/jamapsychiatry.2022.3849
Improving across-dataset brain tissue segmentation for MRI imaging using transformer,"Vishwanatha M. Rao, Zihan Wan, Soroush Arabshahi, David J. Ma, Pin-Yu Lee, Ye Tian, Xuzhe Zhang, Andrew F. Laine, Jia Guo",Journal,Frontiers in Neuroimaging,2022,11,https://doi.org/10.3389/fnimg.2022.1023481
Segmentation with Residual Attention U-Net and an Edge-Enhancement Approach Preserves Cell Shape Features,"Nanyan Zhu, Chen Liu, Britney Forsyth, Zakary S. Singer, Andrew F. Laine, Tal Danino, Jia Guo",Conference,2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2022,7,https://doi.org/10.1109/EMBC48229.2022.9871026
Classification of Schizophrenia with Structural MRI Using 3D-MIGR Transformer,"Ye Tian, Junhao Zhang, Xuemin Zhu, Pin-Yu Lee, Vishwanatha M. Rao, Zhuoyao Xin, Andrew F. Laine, Scott A. Small, Jia Guo",Conference,2022 Joint Annual Meeting ISMRM-ESMRMB & ISMRT 31st Annual Meeting,2022,5,https://archive.ismrm.org/2022/3916.html
Exploring Hybrid CNN-Transformer for Schizophrenia Classification using Structural MRI,"Vishwanatha M. Rao, Junhao Zhang, Jia Guo",Conference,2022 Joint Annual Meeting ISMRM-ESMRMB & ISMRT 31st Annual Meeting,2022,5,https://archive.ismrm.org/2022/1436.html
Improving Across-Dataset Brain Tissue Segmentation Using Transformer,"Vishwanatha M. Rao, Zihan Wan, David J. Ma, Ye Tian, Jia Guo",Conference,2022 Joint Annual Meeting ISMRM-ESMRMB & ISMRT 31st Annual Meeting,2022,5,https://archive.ismrm.org/2022/4817.html
Increased Brain Age Gap Estimate (BrainAGE) in APOE4 carriers with Alzheimer's disease,"Xuemin Zhu, Pin-Yu Lee, Ye Tian, Andrew F. Laine, Tal Nuriel, Jia Guo",Conference,2022 Joint Annual Meeting ISMRM-ESMRMB & ISMRT 31st Annual Meeting,2022,5,https://archive.ismrm.org/2022/3924.html
Magnetic Resonance Spectroscopy Frequency and Phase Correction Using Convolutional Neural Networks,"David J. Ma, Hortense Le, Yuming Ye, Andrew F. Laine, Jeffrey A. Lieberman, Douglas L. Rothman, Scott A. Small, Jia Guo",Conference,2022 Joint Annual Meeting ISMRM-ESMRMB & ISMRT 31st Annual Meeting,2022,5,https://archive.ismrm.org/2022/4496.html
Magnetic Resonance Spectroscopy Spectral Registration with Deep Learning,"David J. Ma, Hortense Le, Scott A. Small, Jia Guo",Conference,2022 Joint Annual Meeting ISMRM-ESMRMB & ISMRT 31st Annual Meeting,2022,5,https://archive.ismrm.org/2022/3498.html
MR spectroscopy frequency and phase correction using convolutional neural networks,"David J. Ma, Hortense A-M. Le, Yuming Ye, Andrew F. Laine, Jeffery A. Lieberman, Douglas L. Rothman, Scott A. Small, Jia Guo",Journal,Magnetic Resonance in Medicine,2022,4,https://doi.org/10.1002/mrm.29103
Hippocampal Glutamate and Positive Symptom Severity in Clinical High Risk for Psychosis,"Rakshathi Basavaraju, Jia Guo, Scott A. Small, Jeffrey A. Lieberman, Ragy R. Girgis, Frank A. Provenzano",Journal,JAMA Psychiatry,2022,2,https://doi.org/10.1001/jamapsychiatry.2021.3710
